,Year,Term,Subject,Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Total
0,2010,0,AAS,100,Intro Asian American Studies,29,96,37,13,15,3,0,1,0,0,0,0,0,1,195
1,2010,0,ACCY,200,Fundamentals of Accounting,5,36,10,11,9,6,10,7,3,2,4,3,1,0,107
2,2010,0,ACCY,201,Accounting and Accountancy I,3,31,62,63,66,22,16,3,1,0,9,0,6,0,282
3,2010,0,ACCY,202,Accounting and Accountancy II,18,169,17,154,124,25,25,58,6,0,2,0,2,0,600
4,2010,0,ACCY,301,Atg Measurement & Disclosure,5,25,53,45,18,9,4,1,1,1,0,0,0,0,162
5,2010,0,ACCY,302,Decision Making for Atg,5,32,33,37,37,8,10,2,1,1,0,0,0,0,166
6,2010,0,ACCY,303,Atg Institutions and Reg,7,40,43,41,46,25,4,2,2,0,1,0,0,0,211
7,2010,0,ACCY,304,Accounting Control Systems,16,21,31,26,52,26,8,4,0,1,0,0,0,0,185
8,2010,0,ACCY,312,Principles of Taxation,1,33,18,45,21,19,7,7,5,0,0,0,0,0,156
9,2010,0,ACCY,405,Assurance and Attestation,3,45,24,26,24,4,1,1,1,0,0,0,0,0,129
10,2010,0,ACCY,503,Managerial Accounting,19,9,4,7,4,0,0,0,0,0,0,0,0,0,43
11,2010,0,ACCY,510,Financial Reporting Standards,0,18,23,29,31,22,5,2,1,0,0,0,0,1,132
12,2010,0,ACCY,515,Auditing & Assurance Standards,1,36,23,27,23,2,0,0,0,0,0,0,0,0,112
13,2010,0,ACCY,517,Financial Statement Analysis,2,10,18,28,40,20,0,0,0,0,0,0,0,0,118
14,2010,0,ACE,161,Microcomputer Applications,0,213,0,0,38,0,0,23,0,0,8,0,7,1,290
15,2010,0,ACE,210,Environmental Economics,2,28,5,22,24,10,7,7,0,2,2,0,2,1,112
16,2010,0,ACE,231,Food and Agribusiness Mgt,0,17,12,21,15,7,4,4,0,0,1,0,0,0,81
17,2010,0,ACE,240,Personal Financial Planning,0,5,3,5,13,6,7,10,1,2,7,2,0,0,61
18,2010,0,ACE,251,The World Food Economy,3,23,15,12,17,6,4,11,2,3,1,0,3,2,102
19,2010,0,ACE,270,Consumer Economics,0,15,5,3,8,8,10,5,3,1,5,0,4,0,67
20,2010,0,ACE,360,Spreadsheet Models & Applic,8,24,9,4,11,2,2,0,3,1,1,1,0,0,66
21,2010,0,ACE,403,Agricultural Law,0,4,2,2,4,6,0,8,0,0,1,0,2,0,29
22,2010,0,ACE,427,Commodity Price Analysis,3,4,11,11,12,8,7,9,2,2,1,1,1,0,72
23,2010,0,ACE,430,Food Marketing,1,12,14,5,14,3,2,3,1,2,0,0,1,0,58
24,2010,0,ACE,446,Modeling App's Finan Plan,2,17,4,0,9,0,0,7,0,1,3,2,1,0,46
25,2010,0,ACE,449,Retirement & Benefit Planning,3,3,1,3,3,4,3,1,1,0,1,0,0,0,23
26,2010,0,ACE,451,Agriculture in Intl Dev,6,6,3,6,3,5,5,0,0,0,1,0,1,1,37
27,2010,0,ADV,300,Introduction to Advertising,70,313,40,30,142,16,20,33,4,1,6,1,10,3,689
28,2010,0,ADV,481,Advertising Research Methods,1,9,2,1,43,5,1,15,1,0,4,0,0,0,82
29,2010,0,ADV,483,Audience Analysis,1,15,22,19,14,5,1,0,0,0,0,0,0,0,77
30,2010,0,AE,312,Compressible Flow,2,4,6,8,18,11,1,17,13,0,3,0,3,0,86
31,2010,0,AE,353,Aerospace Control Systems,8,18,13,8,17,13,4,1,0,0,0,0,1,0,83
32,2010,0,AE,360,Structures & Control Lab,2,19,16,14,15,5,1,3,0,0,0,0,0,0,75
33,2010,0,AE,419,Aircraft Flight Mechanics,3,4,4,3,4,2,1,3,1,0,0,0,0,0,25
34,2010,0,AE,434,Rocket Propulsion,0,12,7,2,17,3,8,3,1,0,0,0,0,0,53
