s,n,t,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,T,gpa,y,FR
AAS,100,Intro Asian American Studies,29,96,37,13,15,3,0,1,0,0,0,0,0,1,195,3.783969072164948,201001,0.6443298969072165
ACCY,200,Fundamentals of Accounting,5,36,10,11,9,6,10,7,3,2,4,3,1,0,107,3.096542056074766,201001,0.38317757009345793
ACCY,201,Accounting and Accountancy I,3,31,62,63,66,22,16,3,1,0,9,0,6,0,282,3.1348226950354605,201001,0.12056737588652482
ACCY,202,Accounting and Accountancy II,18,169,17,154,124,25,25,58,6,0,2,0,2,0,600,3.24705,201001,0.31166666666666665
ACCY,301,Atg Measurement & Disclosure,5,25,53,45,18,9,4,1,1,1,0,0,0,0,162,3.436481481481482,201001,0.18518518518518517
ACCY,302,Decision Making for Atg,5,32,33,37,37,8,10,2,1,1,0,0,0,0,166,3.343253012048193,201001,0.22289156626506024
ACCY,303,Atg Institutions and Reg,7,40,43,41,46,25,4,2,2,0,1,0,0,0,211,3.3400473933649293,201001,0.22274881516587677
ACCY,304,Accounting Control Systems,16,21,31,26,52,26,8,4,0,1,0,0,0,0,185,3.2526486486486488,201001,0.2
ACCY,312,Principles of Taxation,1,33,18,45,21,19,7,7,5,0,0,0,0,0,156,3.2326923076923078,201001,0.21794871794871795
ACCY,405,Assurance and Attestation,3,45,24,26,24,4,1,1,1,0,0,0,0,0,129,3.5297674418604648,201001,0.37209302325581395
ACCY,503,Managerial Accounting,19,9,4,7,4,0,0,0,0,0,0,0,0,0,43,3.7672093023255817,201001,0.6511627906976745
ACCY,510,Financial Reporting Standards,0,18,23,29,31,22,5,2,1,0,0,0,0,1,132,3.2216793893129774,201001,0.13740458015267176
ACCY,515,Auditing & Assurance Standards,1,36,23,27,23,2,0,0,0,0,0,0,0,0,112,3.5416071428571425,201001,0.33035714285714285
ACCY,517,Financial Statement Analysis,2,10,18,28,40,20,0,0,0,0,0,0,0,0,118,3.2262711864406777,201001,0.1016949152542373
ACE,161,Microcomputer Applications,0,213,0,0,38,0,0,23,0,0,8,0,7,1,290,3.5294117647058822,201001,0.7370242214532872
ACE,210,Environmental Economics,2,28,5,22,24,10,7,7,0,2,2,0,2,1,112,3.110630630630631,201001,0.2702702702702703
ACE,231,Food and Agribusiness Mgt,0,17,12,21,15,7,4,4,0,0,1,0,0,0,81,3.2590123456790128,201001,0.20987654320987653
ACE,240,Personal Financial Planning,0,5,3,5,13,6,7,10,1,2,7,2,0,0,61,2.4862295081967214,201001,0.08196721311475409
ACE,251,The World Food Economy,3,23,15,12,17,6,4,11,2,3,1,0,3,2,102,3.0568,201001,0.26
ACE,270,Consumer Economics,0,15,5,3,8,8,10,5,3,1,5,0,4,0,67,2.6617910447761193,201001,0.22388059701492538
ACE,360,Spreadsheet Models & Applic,8,24,9,4,11,2,2,0,3,1,1,1,0,0,66,3.414545454545454,201001,0.48484848484848486
ACE,403,Agricultural Law,0,4,2,2,4,6,0,8,0,0,1,0,2,0,29,2.586896551724138,201001,0.13793103448275862
ACE,427,Commodity Price Analysis,3,4,11,11,12,8,7,9,2,2,1,1,1,0,72,2.8380555555555556,201001,0.09722222222222222
ACE,430,Food Marketing,1,12,14,5,14,3,2,3,1,2,0,0,1,0,58,3.190172413793103,201001,0.22413793103448276
ACE,446,Modeling App's Finan Plan,2,17,4,0,9,0,0,7,0,1,3,2,1,0,46,2.9858695652173917,201001,0.41304347826086957
ACE,449,Retirement & Benefit Planning,3,3,1,3,3,4,3,1,1,0,1,0,0,0,23,3.0,201001,0.2608695652173913
ACE,451,Agriculture in Intl Dev,6,6,3,6,3,5,5,0,0,0,1,0,1,1,37,3.1663888888888887,201001,0.3333333333333333
ADV,300,Introduction to Advertising,70,313,40,30,142,16,20,33,4,1,6,1,10,3,689,3.461661807580174,201001,0.5583090379008746
ADV,481,Advertising Research Methods,1,9,2,1,43,5,1,15,1,0,4,0,0,0,82,2.8173170731707318,201001,0.12195121951219512
ADV,483,Audience Analysis,1,15,22,19,14,5,1,0,0,0,0,0,0,0,77,3.4505194805194805,201001,0.2077922077922078
AE,312,Compressible Flow,2,4,6,8,18,11,1,17,13,0,3,0,3,0,86,2.5240697674418606,201001,0.06976744186046512
AE,353,Aerospace Control Systems,8,18,13,8,17,13,4,1,0,0,0,0,1,0,83,3.3178313253012046,201001,0.3132530120481928
AE,360,Structures & Control Lab,2,19,16,14,15,5,1,3,0,0,0,0,0,0,75,3.4135999999999997,201001,0.28
AE,419,Aircraft Flight Mechanics,3,4,4,3,4,2,1,3,1,0,0,0,0,0,25,3.2004,201001,0.28
AE,434,Rocket Propulsion,0,12,7,2,17,3,8,3,1,0,0,0,0,0,53,3.1258490566037733,201001,0.22641509433962265
AE,441,Aerospace Systems Design II,1,22,26,12,12,1,0,1,0,0,0,0,0,0,75,3.5740000000000003,201001,0.30666666666666664
AFRO,100,Intro to African American St,0,18,26,4,8,6,1,2,0,2,1,1,1,1,71,3.306,201001,0.2571428571428571
